id;first_name;last_name;oib;bank_account_no
1;Garnett;Schinner;Fish multi-byte Savings Account;Computer Practical Fresh Pants
2;Lazaro;Conroy;deposit Tasty Metal Bacon Implementation;Chips
3;Christelle;Morissette;Home Loan Account;web-readiness
4;Einar;Ledner;enable Gorgeous Frozen Pants;Common
5;Ozella;Mosciski;syndicate;Mississippi Refined Rubber Chicken Table
6;Aniyah;Ankunding;Usability South Dakota envisioneer;Intelligent
7;Markus;Fisher;Bahamian Dollar Investment Account;Games Regional Digitized
8;Makayla;Roob;convergence;Mayotte
9;Christine;Bartell;synthesizing Views e-enable;Credit Card Account National Awesome
10;Cleve;Leannon;Tactics;scale interactive generating
